generator,noise,strategy,repeats,max_steps,seed,attempt,stop_reason,abs_err_x,uncert,final_entropy,measurements,steps_to_fb,err_fb_at_milestone,err_fc_at_milestone,fc_at_milestone,overall_uncert_at_milestone,final_err_fb,final_err_fc,final_overall_uncert,final_steps,err_fb_diff,err_fc_diff,duration_ms
NVCenter-lorentzian,Gauss(0.01),Bayesian-SBED-NoSweep,3,1200,123,1,locator_stop,9058875.925790787,70423.66332173448,29.784506045514757,74,3,5405960.567247391,2766235.9746705247,5400037.467479706,112015.07220400167,9058875.925790787,6505913.493276711,28655.13795164985,74,-3652915.358543396,-3739677.518606186,25042.034099999
NVCenter-lorentzian,Gauss(0.01),Bayesian-SBED-NoSweep,3,1200,123,2,locator_stop,8129721.198059559,106459.22267981255,28.19168135349212,45,28,3228684.577919483,3560429.585988441,5679045.990109444,776016.4199259002,8129721.198059559,7876362.947637955,30344.22364404364,45,-4901036.620140076,-4315933.361649513,14719.732700003078
NVCenter-lorentzian,Gauss(0.01),Bayesian-SBED-NoSweep,3,1200,123,3,locator_stop,4974178.555809498,33684.964285689915,26.271601006129124,89,86,2185336.831413746,2914491.7835075525,4932571.12801075,592596.4232725023,4974178.555809498,2715429.182775703,13597.203974205806,89,-2788841.724395752,199062.60073184967,29857.54559999623
