generator,noise,strategy,repeats,max_steps,seed,attempt,stop_reason,abs_err_x,uncert,final_entropy,measurements,expected_uniform_points,sobol_baseline_steps,sobol_difference,steps_to_fb,err_fb_at_milestone,err_fc_at_milestone,fc_at_milestone,overall_uncert_at_milestone,final_err_fb,final_err_fc,final_overall_uncert,final_steps,err_fb_diff,err_fc_diff,duration_ms,sweep_steps,locator_steps,dips_detected,total_dip_width,min_dip_width,expected_focused_points,sweep_efficiency,measurements_done,acquisition_lo,acquisition_hi,sobol_freq_steps,sobol_conv_diff
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,6,10,123,2,locator_stop,134674814.3882866,143628686.66648865,69.59666718558137,10,105.53562005277468,,95.53562005277468,,,,,,134674814.3882866,3204758.875292642,25300928.93345582,10,,,447.57899999967776,0,10,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,6,10,123,3,locator_stop,3392085.7125406265,123665690.4220581,69.0235329958872,10,59.60953800298176,,49.60953800298176,,,,,,3392085.7125406265,3384427.651831426,21992551.82019659,10,,,343.0205000040587,0,10,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,6,10,123,4,locator_stop,59648442.66072512,109108231.96172714,68.43874917451916,10,30.463061690784524,,20.463061690784524,,,,,,59648442.66072512,1342980.3865777971,19518692.805175062,10,,,364.23419999482576,0,10,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,6,10,123,5,locator_stop,194106871.034729,141889646.64936066,69.57963069899756,10,42.01470588235361,,32.01470588235361,,,,,,194106871.034729,200351.86384450085,25022298.35880332,10,,,921.2383000121918,0,10,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,6,10,123,6,locator_stop,137389342.6232438,140952318.90678406,69.53658696719322,10,60.87975646879854,,50.87975646879854,,,,,,137389342.6232438,3202045.1838145787,24879932.135303378,10,,,551.6000999923563,0,10,,,,,,,,,,
NVCenter-voigt,Gauss(0.01),SimpleSobol,6,10,123,1,locator_stop,78105198.5459485,137790158.39099884,69.16357572449945,10,44.74049217002254,,34.74049217002254,,,,,,78105198.5459485,5581329.366000328,24286157.208561447,10,,,1105.5459000053816,0,10,,,,,,,,,,
NVCenter-voigt,Gauss(0.01),SimpleSobol,6,10,123,2,locator_stop,72599808.4874115,136712729.9308777,69.105567372428,10,81.13184584178401,,71.13184584178401,,,,,,72599808.4874115,5508462.073057376,24104113.27634275,10,,,571.6428000014275,0,10,,,,,,,,,,
NVCenter-voigt,Gauss(0.01),SimpleSobol,6,10,123,3,locator_stop,16557632.040834427,145866453.64761353,69.35791245928482,10,1249.937500000396,,1239.937500000396,,,,,,16557632.040834427,3486443.7812658846,25615866.9964871,10,,,727.3243999952683,0,10,,,,,,,,,,
NVCenter-voigt,Gauss(0.01),SimpleSobol,6,10,123,4,locator_stop,141728742.9546399,138941973.44779968,69.13415360883162,10,86.01720430107376,,76.01720430107376,,,,,,141728742.9546399,3034718.1935054846,24446947.71262983,10,,,537.782999992487,0,10,,,,,,,,,,
NVCenter-voigt,Gauss(0.01),SimpleSobol,6,10,123,5,locator_stop,177894587.02790594,138786032.79590607,69.14300774613046,10,72.06846846846744,,62.068468468467444,,,,,,177894587.02790594,3210615.634690745,24439887.341950808,10,,,367.5666000053752,0,10,,,,,,,,,,
NVCenter-voigt,Gauss(0.01),SimpleSobol,6,10,123,6,locator_stop,4223240.562704563,98148889.8396492,67.7281783332997,10,34.87183958151711,,24.871839581517108,,,,,,4223240.562704563,4675083.770752196,17633031.746872246,10,,,290.36379999888595,0,10,,,,,,,,,,
